Newspaper,Country,Place,Headline,Article
Times Of India,India,Kolkata,US relations with India stand on their own merit: Vajda,"The US looked at India as a strategic partner and the relations between the two countries stood on their own merit and were not directed towards ""any one country"" in the south Asian region, a senior US State Department official said here today.
The two countries would work together not only now, but also in the future, to promote peace and prosperity in the region, Thomas Vajda, the Acting Deputy Assistant Secretary for South and Central Asia, the US Department of State, said.
He said the US looked at India as a strategic partner and added, ""Our ties had never been so good.""
""The relations between India and the US stand on their own merit and are not directed towards any one country in the region,"" he told reporters during an informal chat here.
Vajda, who is also the US Consul General in Mumbai, said to promote peace and prosperity in the south Asian region, both India and the US would have to work together not only now, but also in the future.
The deep partnership between the two countries was seen in the US co-hosting the just-concluded Global Entrepreneurship Summit in Hyderabad, along with the Indian government, he said.
The US, Vajda said, was eager to promote peace and prosperity in a close partnership with India, adding that it was fundamental to the flow of trade in south Asia.
""We want to do that not at the expense of any other country and also do not want to prioritise any one over the other,"" he said.
On the Indo-Pak conflict, Vajda said, ""The US condemns terrorism emanating from the Pakistani soil. But the two countries should resolve the differences through dialogue.""
He also said the US was in favour of a dignified return of the Rohingyas to Myanmar and their proper resettlement.
In an interaction organised by the Bengal Chambers of Commerce and Industries (BCCI), Vajda spoke about an increasing US interest in India, which was a natural market owing to its huge middle class population.
  As the connectivity with the East increased, more channels would open up for expanding business links, he said. "
Times Of India,India,Washington,India holds $145 billion of US govt bonds,"India's holdings of US government securities touched $145.1 billion at the end of September, continuing to increase its exposure, official data showed. Remaining the 11th largest holder of the US Treasury securities, India increased its holdings by little over $6 billion in September compared to August when the same stood at $139 billion.
  
  
  The US government data showed that India's holdings rose to $145.1 billion in September — also the highest so far this year. According to data from the Treasury department, the exposure of India to these securities has been on the rise since February when it had touched $112.3 billion. The country's holdings have jumped by $31.4 billion in eight months starting January when the exposure was at $113.7 billion."
NDTV,India,Washington,"India And US Are Partners, Not Allies: Shivshankar Menon","Indo-US ties can best be described as ""partners"", which are equal, and not ""allies"", former foreign secretary and national security advisor Shivshankar Menon has said, noting ""unprecedented"" cooperation in key areas like maritime security and defence.""I would not say we are in their (US) camp or an ally (of US). I think, what I always used (the term) is partnership. It is a partnership that has grown. We have transformed the relationship. But that has been bipartisan,"" Mr Menon said.Mr Menon, whose first book post retirement 'Choices: Inside the making of India's Foreign Policy' is all set to hit book stores globally next week, said that each of the successive Indian governments in the last few decades have done their bit to take the relationship further forward.""The first NDA government led by the Prime Minister (Atal Bihari) Vajpayee did the Next Steps in Strategic Partnership, which actually opened up defence co-operation and various cooperation in space and various sensitive forms of cooperation.""The UPA government did the civil nuclear which again removed the biggest obstacle and changed the mindset actually in India and the US about the relationship. The NDA government now, the present government has done the joint vision statement in the Asia-Pacific, taking one more step further,"" he said.. ""So today, we have a very deep partnership. But it is a partnership,"" said Mr Menon, who played a key role in strengthening of India-US relationship first as the foreign secretary and then in his capacity as the national security advisor to the then Prime Minister Manmohan Singh.Partnership is not something that the US is used to, the former top Indian diplomat said.""And we also have to get our head around a very close partnership in India. It's new for both of us,"" he said.""The US is used to having allies who follow or clients who obey. Partners are equal. And partners each bring different things to the table and work together. I think, we are learning how to do it,"" Mr Menon said.""If you look at maritime security, counter-terrorism, intelligence, look at various aspects of national security, defence co-operation, DTTI for instance, many of these things are unprecedented. But we are learning how to build a partnership,"" he said.""We are at a stage where partnership, relationship has been better than it has been ever been before, but there is still a way to go. Still things to do,"" he added. CommentsClose  X Responding to a question on eight years of Obama Administration, Mr Menon said they took the relationship forward and they have worked quite hard at it.""It is interesting. As we moved forward, we realised that there are more things to be done. Today, the big things to be done are on the trade and on the economic side, on IPR or pharma on market access, energy and climate change where there are big challenges and also where there are big opportunities,"" he said, adding India-US relationship has bipartisan support in the United States too. 
"
NDTV,India,Washington,New US Defence Act Urges Pentagon To Build Enduring Defence Ties With India,"The Pentagon has been asked by US Congressional leaders to develop a ""forward-looking"" strategy to form an enduring defence relationship with India.Congressional leaders reconciling the differences between the House and Senate versions of the National Defense Authorisation Act (NDAA-2018) also asked the US and India to work closely in Afghanistan.The new version of the NDAA-2018 requires the Secretary of Defence to ""develop a forward-looking strategy"" that would build upon current objectives and goals, underlining a mutual desire to develop an enduring defence relationship with India"".According to it, the US and India ""should work closely with Afghanistan"" to promote stability in the region to include targeted infrastructure development and economic investment, means to address capability gaps in country, and improved humanitarian and disaster relief assistance.The US Congress in its last NDAA-2017 had designated India as a 'Major Defence Partner'.In its latest conference report, the Congressional leaders on Thursday said that the designation of 'Major Defence Partner' is unique to India, and institutionalises the progress made to facilitate defence trade and technology cooperation between the United States and India to a level commensurate with the closest allies and partners of America.. ""The designation promotes joint exercises, defence strategy and policy coordination, military exchanges, and port calls in support of defence cooperation between the United States and India,"" it said. CommentsClose  X The reconciled version of the NDAA-2018 now heads to the House and Senate floor for formal approval, before it is sent to the White House for US President Donald Trump to sign it into a law.Among other things, it asked Secretary of State Rex Tillerson and the Defence Secretary Jim Mattis to develop a strategy for advancing defence cooperation between the United States and India. 
"
NDTV,India,Washington,Looking Forward To Donald Trump-Prime Minister Narendra Modi First Meeting: White House,"The United States is looking forward to strengthen ties with India, the Trump Administration has said, ahead of the first meeting between Prime Minister Narendra Modi and US President Donald Trump next week. PM Modi and Mr Trump are scheduled to meet at the White House on Monday.""We're looking forward to strengthening ties between the United States and India,"" State Department spokesperson Heather Nauert told reporters at her daily news conference.""We have a lot of areas of mutual cooperation, fighting terrorism, we have a lot of people-to-people ties, strong people-to-people ties; so we're looking forward to that visit,"" she said.Days ahead of the trip, the US cleared the sale of 22 Guardian unmanned drones, reportedly worth $ 2 billion, to India. When they meet, PM Modi and Mr Trump will discuss the sale of US fighter jets.Sean Spicer, White House Press Secretary had said the two leaders were expected to set forth a ""common vision"" on expanding US-India partnership.. A senior US official had said PM Modi is expected to raise the issue of H-1B visas for skilled workers when he meets Mr Trump. CommentsClose  X After Mr Trump won the presidential elections last November, the two leaders have spoken over phone three times, the last being Mr Trump's congratulatory phone calls after Uttar Pradesh Assembly elections.Last month, PM Modi undertook a four-nation tour of Europe where he met the leaders in Germany, Russia, France and Spain. He held talks with German Chancellor Angela Merkel, French President Emmanuel Macron, Russian President Vladimir Putin and Spanish President Mariano Rajoy.

"
NDTV,India,Washington,India Remains A Key Partner: US,"US Department of State spokesperson John Kirby has reiterated that India remains and will remain Washington's key partner and strong bilateral relations will also continue.While responding to a question on Friday regarding India-US relations under Washington's new President-elect Donald Trump who will take office on January 20, 2017, Mr Kirby said: ""What happens after the inauguration of our new President is really for the new administration to speak to. But there's no question that India remains and will remain a key partner... And strong bilateral relations will need to continue.""""We greatly value and respect the relationship we have with India today and the one that we have worked very, very hard at improving and strengthening,"" the spokesperson added. CommentsClose  X ""We are going to stay completely focused on that for the remainder of this Obama administration,"" Mr Kirby said. Regarding the appointment of India's new Ambassador to the US Navtej Sarna, Kirby said: "" We welcome the new ambassador and we look forward to working closely with him as he settles into his new duties."" 
"
NDTV,India,Washington,"Rex Tillerson Says US Is 'Reliable Partner' For India, Takes Dig At China","US is India's 'reliable partner' in this period of uncertainty: Tillerson He underlined that the US seeks constructive relations with China  Rex Tillerson is scheduled to visit India next week                                  The United States is India's ""reliable partner"" at the world stage in this period of uncertainty and angst, Secretary of State Rex Tillerson said on Wednesday, sending a strong signal to side with India amidst China's ""provocative actions"" in the region.In a major India-policy speech, the first by the Trump administration, Mr Tillerson, who is scheduled to visit India next week, referred to the rise of China, saying its behaviour and action is ""posing a challenge to the rules-based international order"".""China, while rising alongside India, has done so less responsibly, at times undermining the international, rules-based order - even as countries like India operate within a framework that protects other nations' sovereignty,"" he told a Washington audience ahead of his first visit to India as the top American diplomat.""China's provocative actions in the South China Sea directly challenge the international law and norms that the US and India both stand for,"" he said.Underlining that the US seeks constructive relations with China, he said, ""But we won't shrink from China's challenges to the rules-based order, or where China subverts the sovereignty of neighbouring countries, and disadvantages the US and our friends."". ""In this period of uncertainty and angst, India needs a reliable partner on the world stage. I want to make clear: with our shared values and vision for global stability, peace and prosperity, the US is that partner,"" Mr Tillerson said.He said the emerging Delhi-Washington strategic partnership stands upon a shared commitment upholding the rule of law, freedom of navigation, universal values and free trade.""Our nations are two bookends of stability - on either side of the globe - standing for greater security and prosperity for our citizens and people around the world,"" he said, noting that the challenges and the dangers are substantial.The scourge of terrorism and the disorder sown by cyberattacks threaten peace everywhere. ""North Korea's nuclearweapons tests and ballistic missiles pose a clear and imminent threat to the security of the US, its Asian allies, and all other nations, he said.""And the very international order that has benefited India's rise-and that of many others-is increasingly under strain,"" he said.Mr Tillerson said with India's youth, its optimism, its powerful democratic example and its increasing stature on the world stage, it makes perfect sense that the US at this time should seek to build on the strong foundation of its years of cooperation with India.""It is indeed time to double down on a democratic partner that is still rising - and rising responsibly - for the next 100 years,"" he said.""But above all, the world - and the Indo-Pacific in particular - needs the US and India to have a strong partnership. India and the US must, as the Indian saying goes, 'do the needful',"" he said.The Secretary of State said India and the US can be the voice the world needs them to be, standing firm in defence of a rules-based order to promote sovereign countries' unhindered access to the planet's shared spaces, be they on land, at sea or in cyberspace.""India and the US must foster greater prosperity and security with the aim of a free and open Indo-Pacific."" CommentsClose  X The two countries, he said, need to collaborate to ensure that the Indo-Pacific is increasingly a place of peace, stability, and growing prosperity - so that it does not become a region of disorder, conflict and predatory economics.""The world's center of gravity is shifting to the heart of the Indo-Pacific. The US and India - with our shared goals of peace, security, freedom of navigation, and a free and open architecture - must serve as the eastern and western beacons of the Indo-Pacific,"" he said. 

"
NDTV,India,Beijing,Donald Trump May Move Closer To India To Balance China: Chinese Media,"Indo-US ties key to Mr Trump's policy to 'suppress' China: Chinese media Ties won't impact China due to India's internal problems: Global Times China attacked Donald Trump after he questioned China on several issues                                  The Indo-US relations will become an important part of President-elect Donald Trump's diplomacy to ""suppress"" China, but it will have limited impact on Beijing due New Delhi's resistance to a quasi-alliance"" with Washington to retain an independent foreign policy, the Chinese state media said today.The opinion piece titled 'Trump may be cool to alliance with Delhi' said, ""With the purpose of stabilising the external situation and straightening out problems at home, the Trump administration will seek an improving relationship with India,"" an article in the state-run Global Times said today.The commentary however said that India will not be able to assist the US much due to its own domestic problems, and US's enthusiasm thus to build a quasi-alliance will decrease.It further said that India ""as a global power sticking to non-alignment diplomacy"" will not set a goal of ""allying with the US in suppressing China as the US hopes"".""Therefore, there are unbridgeable differences between American intentions for developing a close relationship with India to balance China and India's concept of developing independent diplomacy toward the US and China,"" the article said.When dealing with global challenges such as climate change, nuclear proliferation and terrorism, the US may require India to make greater contributions to specific fields which only the US is concerned about, it said.. ""His will reduce India's trust in the US, and weaken the basis for deepening bilateral cooperation to the level the US looks forward to,"" it said.Detailing limitations of US-India relations under the Trump administration, the article said it will have a ""limited impact on China"". CommentsClose  X ""The intensive US-India security cooperation during the Obama administration will be changed due to Trump's adjustment in diplomacy, easing off the pressure on China,"" it said.Chinese official media began attacking Trump after his tweets yesterday questioning for the first time after his election, China's currency devaluation and the Beijing's claims on South China Sea.
"
NDTV,India,New Delhi,India To Become 'Major Defence Partner' Of US,"Defence Minister Manohar Parrikar and outgoing US Defence Secretary Ashton Carter on Thursday finalised the ""major defence partner"" status to India which will fast-track cooperation and sharing of high-end American defence technology.Both sides also vowed to expand the bilateral defence cooperation as Mr Carter met Mr Parrikar here for the record-breaking seventh time.""Today we finalised India's designation as a 'Major Defence Partner' of the US. The designation as a Major Defence Partner is a status unique to India and institutionalises the progress made to facilitate defence trade and technology sharing with India to a level at par with that of the US's closest allies and partners, and ensures enduring cooperation in the future,"" a joint statement after the meeting said.Mr Carter also called on Prime Minister Narendra Modi. Officials explained that details regarding US licensing rules among other have been finalised.The statement added that both sides exchanged views on regional security issues including threat posed by terrorism.""They agreed to continue further strengthening the bilateral counter terrorism cooperation and underlined the need to ensure that terror groups receive no patronage from any State,"" it said.. Citing common values and shared desire for peace and prosperity in Asia Pacific and Indian Ocean Region, the two leaders reflected on the convergence of interests that have driven the strategic and technological ""handshakes"" between both nations and led to historic progress in bilateral ties, the statement added.It said that bilateral defence ties have in the recent years moved along a ""remarkable upward trajectory"".""Thank you my friend,"" Mr Carter told Parrikar as both met at the South Block here. CommentsClose  X Mr Carter said that this is the seventh meeting that he was having with Mr Parrikar. ""He is the Defence Minister with whom I have met for the maximum number of times,"" he said emphasising the importance that US puts on its ties with India.During the meeting, which was more of a thanksgiving one, Mr Carter said, ""Today our defence relationship takes a major step as we designate India as a major defence partner. 
"
NDTV,India,Manila,"India-US Relationship Beyond Mutual Interest, Good For Humanity: PM Modi","The relationship between India and the US goes beyond mutual interest and can be beneficial for Asia and humanity at large, Prime Minister Narendra Modi told President Donald Trump on Monday who described him as a ""friend"" who is ""doing a great job"".PM Modi's comments came ahead of his bilateral talks with President Trump on the sidelines of the ASEAN summit in Manila during which the two leaders discussed a range of key issues including defence and security.""The relations between India and the US are growing, and I also feel that the relationship between India and the US is not only for mutual interest. It goes beyond that. We are working together for the interest, for the future of Asia and for the humanity as a whole in the world,"" PM Modi said.PM Modi also thanked the US president for praising India whenever he got an opportunity to speak about the country during his Asia tour.""...in the few days wherever president Trump has travelled and whenever opportunity arose to talk about India, he has expressed very high opinion about India,"" PM Modi said.. ""I would like to assure you whatever the expectations are of the world, of the US from India, India has always made efforts to fulfil those expectations and we will continue to do so in the future too,"" he said.Donald Trump on his part described PM Modi as a friend and a great gentleman.""PM Narendra Modi is here we had met at the White House before. He has become a friend of ours. He's doing a great job. A lot of things were solved and we will continue to work together,"" he said.He said that PM Modi was doing a ""fantastic job by bringing lots of factions in India together that is what I hear and is a good news and lot of good reports are coming out of India.""The two leaders are understood to have discussed the security scenario in the region besides several other issues of mutual interests, including ways to further boost bilateral trade.The move to set up the quadrilateral alliance of India, US, Japan and Australia comes in the backdrop of growing Chinese assertiveness in the South China Sea. The US has been favouring a larger role for India in the strategically important Indo-Pacific region.The use of the term ""Indo-Pacific"" by President Trump has led to speculation that it may have something to do with Washington preparing the ground for a revival of the so called quadrilateral strategic alliance between the US, Japan, Australia and India to counter China's rise.President Trump on Saturday praised India's ""astounding"" growth after it opened up its economy and also lauded PM Modi, saying he has been working successfully to bring the vast country and its people together. CommentsClose  X Speaking at a gathering of CEOs on the sidelines of the annual Asia-Pacific Economic Cooperation (APEC) summit in the Vietnamese city of Danang, President Trump had cited India as one of the countries in the Indo-Pacific region making strides.He praised India as a sovereign democracy with a population of over 1 billion as well as the largest democracy in the world.

"
NDTV,India,Washington,"US, India Working To Turn Big Words Into Pragmatic Realities: Defence Secretary Jim Mattis","Describing India as a force for stability in South Asia, US Defence Secretary Jim Mattis today said the two countries are working to turn ""big words"" on strengthening their ties into ""pragmatic realities"".""There are a number of things in motion right now, and decisions will be coming very soon,"" Mattis told members of House Armed Services during a Congressional hearing on Afghanistan. ""We're both working to turn these big words into pragmatic realities and because I see both sides working together on it. I'm optimistic,"" he said, adding that India-US political relationship can be tightened together.The defence secretary, who met Prime Minister Narendra Modi, Defence Minister Nirmala Sitharaman and National Security Adviser Ajit Doval during his visit to India last week, described India as a force for stability in South Asia. ""They (India) are a force for stability in South Asia. They're a force for stability in the Indo-Pacific region. They're a nation coming into their own, economically, as a great nation, as they have steady growth rates going on right now,"" he added.""There's an opportunity here that we have not experienced in decades to tie us together in terms of broadened level of cooperation and a natural alignment with each other's interests,"" he said..  CommentsClose  X  He said that India and the US now have a strategic convergence of two natural partners, the two largest democracies in the world.Responding to another question, Mattis said India has an ""outsized role"" to play in the region because of its size. ""It's as raucous a democracy as we are, frankly. It gives people hope that their voices can be heard and economic opportunity can be passed broadly in a society, not to a corrupt few. I think their example alone is important. It's why we are looking at this strategic convergence as an opportunity for steady engagement, so we have to do pragmaticthings together,"" he said. 
"
NDTV,India,New Delhi,"India, US Likely To Seal Deal Worth R
s.
 5,000 Crore For 145 Ultra-Light Howitzers","India and the US are likely to sign an agreement for the purchase of 145 American Ultra-Light Howitzers, worth about Rs 5,000 crore, this fiscal, the first deal for artillery guns since the Bofors scandal in 1980s.The Defence Ministry on Thursday cleared the file for M777 guns, which would now be sent to the Finance Ministry before being put up before the Cabinet Committee on Security.Sources said the approval for certain ""deviations"" were made.The ministry has already shortened the supply period of the guns, with a strike range of 25 km, though the exact period could not be known.India had sent a Letter of Request to the US government showing interest in buying the guns which will be deployed in high altitude areas in Arunachal Pradesh and Ladakh, bordering China.The US had responded with a Letter of Acceptance (LOA) and the ministry had in June looked into the terms and conditions and approved it.The offsets, under which BAE Systems, manufacturer of the gun, will invest about $200 million, will be pursued independently.While 25 guns will come to India in a fly away condition, the rest will be assembled at the proposed Assembly Integration and Test facility for the weapon system in India in partnership with Mahindra..  CommentsClose  X The howitzers that can be heli-lifted were first proposed to be bought from BAE about 10 years back.The Defence Ministry also approved buying of over nearly 4,900 radio sets for the Army's Armoured Corps from an Israeli firm. 
"
NDTV,India,Washington,Trump's 'America First' Strategy Can Damage Indo-US Ties,"Speculated to be the next US envoy to India, Indian-American strategist Ashley Tellis today said that US President-elect Donald Trump's 'America first' policy can damage India-US bilateral ties.""Trump's 'America First' strategy has the potential to damage the US-India relationship. He should instead strengthen India's alliance to cope up with the challenges posed by China,"" Mr Tellis, a senior fellow South Asia Programme at the Carnegie Endowment for International Peace, a top American think-tank, said in an article.Mumbai-born Ashley Tellis, 55, in an op-ed published in Asia Policy by the National Bureau of Asian Research, said, the variety of positions expressed by Trump suggests that the potential threat to the continuing transformation of US-India relations comes less from his views on India- which are probably unsettled- than it does from his iconoclastic convictions about the relationship between the US and the world.He argues that while many elements of Trump's nationalist agenda are understandable - even defensible - the worldview it represents diverges from that which initially cultured the evolving US-Indian partnership.""Going back to the earliest years of the George W Bush administration, the US' rapprochement with India was premised on the assumption that the principle strategic problem facing both countries consisted of the rise of China and the threat it posed to both US primacy and Indian security- not to mention the safety of the US' other Asian partner and allies - simultaneously,"" he wrote.. ""Since it was assumed that the United States would subsist as the principal protector of the liberal international order, and the Western alliance system in particular, even in circumstances where the containment of China was impossible because of the new realities of economic interdependence, the Bush administration slowly gravitated toward a strategy of balancing China by building up the power of key states located on its periphery,"" Mr Tellis said.He says the current US commitment to the rise of Indian power sans symmetric reciprocity was devised during the Bush administration but has been faithfully continued by President Barack Obama for very good reasons.It was anchored in the presumption that helping India expand in power and prosperity served the highest geopolitical interests of the US in Asia and globally-namely, maintaining a balance of power that advantaged the liberal democracies, he said.""Accordingly, it justified acts of extraordinary US generosity toward India, even if specific policies emanating from New Delhi did not always dovetail with Washington's preferences,"" Mr Tellis said in the article.""Given that what India could become -a power capable of successfully balancing a rising China- mattered more for US interests than what New Delhi did on any other issue, US policy for almost two decades has embodied a calculated altruism whereby Washington continually seeks to bolster India's national capabilities without any expectations of direct recompense,"" he said.Tellis warns that if New Delhi fails to satisfy the anticipation of reciprocity embodied by an America-first policy -a likely prospect given India's resource and power constraints - both nations will have ended up worse off. ""Without the benefit of a preferential affiliation with the US, India's challenges with regard to managing a rising China (and even a troublesome Pakistan) will have become considerably more difficult,"" he said. CommentsClose  X ""The United States in turn will have lost the opportunity to preserve an advantageous Asian balance of power, which by incorporating a strengthened India actually constrains Chinese ambitions and thereby buttresses US primacy for more time to come,"" Mr Tellis added. 
"
NDTV,India,New Delhi,India Shouldn't Rush To Judgement On Donald Trump: Foreign Secretary S Jaishankar," India should guard against ""judging"" US President Donald Trump in a ""rush"" and instead take him seriously, Foreign Secretary S Jaishankar said on Tuesday. Addressing an industry event in New Delhi, Mr Jaishankar also pitched for building strong regional connectivity, which he said was of paramount interest and was set to get a boost in the near future. Laying out the rules of engagement with Mr Trump, Mr Jaishankar said it was important to keep in mind that intentions do not always translate into outcomes as he spoke on a wide range of issues.""I think what is important is to take him (Mr Trump) seriously but also with a caveat that intentions are not always outcomes and even in our bilateral ties I would suggest that if there is a point to make at this stage, it is that don't rush to judgement,"" he said.In making his case, Mr Jaishankar referred to a section of the US media's take that the ""American Press took him literally but not seriously but public took him seriously but not literally."" CommentsClose  X Suggesting that there was a perceptive shift across the world from multi-lateralism towards bi-lateralism against the backdrop of a global ""uncertainty"", Mr Jaishankar referred to the New Delhi's policy of ""neighbourhood first"".. ""In the next few weeks and months we will see important interactions and agreements and certainly there is a case for India taking a much more generous, effective outreach to its immediate as well as extended neighbourhood and to develop a stronger regional identity and interest,"" he said. 
"
NDTV,India,Raipur,India Will Lead World In Almost Every Category By 2030: US Envoy Richard Verma,"India will have most graduates, patent holders, infrastructure: Verma. Indo-US partnership poised to strengthen further: Verma Last two years as the best period in the relationship: Verma.                            Expressing confidence that by 2030 India would lead the world in ""almost every category"", US Ambassador to India Richard R Verma today said people are excited about the Indo-US partnership which is poised to strengthen further.""I look out into the future in India...just take 2030. By 2030, India will lead the world in almost every category...You will have the most people, largest middle class population, college graduates, patent holders, massive investment in infrastructure, urbanisation and discoveries,"" he said while interacting with students at the Government Engineering College in Raipur.""That's why people are so excited about India's rise and what's happening here. That's why I am excited about the partnership we have with you (India)...we can't agree on every issue, but we can get really a lot of important things done,"" he added.Mr Verma termed the last two years as the best period in the relationship between the two countries. He said US President Barack Obama wants India to be a strong, prosperous and a successful global power.""We changed, India has changed...We were on two separate tracks for many a decade. Those tracks are now coming together. If you ask (US) president about how he feels about India, he would say he wants India to be strong and prosperous,"" he said.. Speaking about various fronts on which both the countries have collaborated and succeeded, he stressed that the two countries broke records in several categories last year.""We had the highest two-way trade between the two countries ever of $110 billion. US was the largest export market for India.""About 1.1 million visitors from India travelled to the US and equally, one million Americans visited India last year which was an all-time high. Last year, 1.40 lakh Indian students were studying in America. The highest defence trade number last year was $15 billion,"" he said.Mr Verma, however, said the two countries can do a lot more on peace, prosperity, climate change, defence and strategic affairs which he feels will have big impact on people.Expressing hope that the ties between the two nations, would strengthen, he said, ""If I look ahead to the future, I'm really optimistic and really excited. I don't think our relationship (will be) on roller coaster. I don't see it going down, I only see it's going up.""He also noted that the visits of Prime Minister Narendra Modi have strengthened ties between the two countries. CommentsClose  X He quoted PM Modi's speech at the US Congress earlier this year, where the PM had said they have overcome the hesitation of history and India is on course of making the US its indispensable partner.The US envoy also stressed the role India and the US can play in ensuring peace and harmony in the world. 
"
NDTV,India,Washington,Lawmakers Across Parties In The US Ask For Strong Ties With India,"Top US lawmakers cutting across party lines have advocated strengthening of ties with India and asked the Indian-American community to chip in to find new opportunities for growth.Senators and Congressmen from both the Republican and the opposition Democratic party said that the relationship with India was important and Indian-Americans have a significant role to play in this.""I have worked very very hard on allowing more immigrants and particularly South Asian immigrants, people from India come to America,"" said Senate Minority leader Chuck Schumer, who is often criticised for his strong anti-H-1B stand both inside and outside the Congress.The H-1B visa, the most popular among Indian IT professionals, is a non-immigrant visa that allows US companies to employ foreign workers in speciality occupations that require theoretical or technical expertise.""The Indian community has done so much for our country in terms of science, in terms of business, in terms of creativity,"" Schumer said in his address to the 20th annual Legislative Conference of Indian American Friendship Council.Schumer said when he wrote the immigration bill, he made special provisions to allow more Indians to come to America.. The top American Senator from New York said that he plans to travel to India soon.Democratic Congresswoman Tulsi Gabbard said that over the years, the US and India have made great strides in strengthening the important relationship, from cooperating in education to business to counterterrorism and so much more.As co-chair of the Congressional Caucus on India and Indian Americans and through her work on the House Armed Services and Foreign Affairs Committees, Gabbard said she had been working to strengthen the friendship and bonds that the two nations already share, and to encourage new opportunities for growth.""The Indian American Friendship Council's work to promote mutual exchange of knowledge and ideas, further understanding between elected leaders and those in the private sector, and provide a voice to the more than three million Indian Americans living in the United States has furthered this progress and expanded the US-India relationship for the benefit of both countries and their citizens,"" Gabbard said.Congressman Ed Royce, Chairman of the powerful House Foreign Relations Committee said the two countries have a historic opportunity moving forward.India, he said, lives in a tough neighborhood.He called for counterterrorism cooperation between the two countries. CommentsClose  X Congressman Eliot Engel, Ranking Member of the powerful House Foreign Relations Committee, said that the relationship between the United States and India will continue to strengthen and will continue to be strong.The gathering was also addressed by more than a dozen lawmakers including Ami Bera, Raja Krishnamoorthi, Frank Pallone and Sheila Jackson Lee. 

"
NDTV,India,Washington,US Has Elevated Its Ties With India Across The Board: Barack Obama," Welcoming India's growing role in the Asia-Pacific region, the US has said it will continue to work with other countries in the region for ""addressing political and security challenges.""""We've elevated our ties with India across the board, and we welcome India's growing role in the Asia Pacific,"" Barack Obama said in a major policy speech on Asia-Pacific region in Laos on Tuesday.This is for the first time that a US President has visited Laos.Obama said to maintain peace and deter aggression, the US has deployed more of its most advanced military capabilities to the region, including ships and aircraft to Singapore.""And by the end of the decade, a majority of our Navy and Air Force fleets will be based out of the Pacific. And our allies and partners are collaborating more with each other as well. So our alliances and defence capabilities in the Asia Pacific are as strong as they've ever been,"" he said.""We've also forged deeper ties with emerging economies and emerging powers. With Indonesia and Malaysia, we're promoting entrepreneurship. We're opposing violent extremism, and we're addressing environmental degradation,"" he said.""With my recent visit to Hanoi and Ho Chi Minh City, we've shown our commitment to fully normalising our relationship with Vietnam,"" Obama said.. ""We've deepened our cooperation with regional institutions, especially here in Southeast Asia. And as part of our new strategic partnership with ASEAN, we've agreed to key principles, including that ASEAN will remain central to peace, prosperity and progress in the Asia Pacific,"" Obama said.""The US is now part of the East Asia Summit, and together we've made it the leading forum in the region for addressing political and security challenges, including maritime security,"" he said.Obama said the US has worked to build a constructive relationship with China.""Our two governments continue to have serious differences in important areas. The US will remain unwavering in our support for universal human rights, but at the same time, we've shown that we can work together to advance mutual interests.The US and China are engaged across more areas than ever before -- from preventing Iran from obtaining a nuclear weapon, to our shared commitment to denuclearizing the Korean Peninsula, to our historic leadership together on climate change,"" he said. CommentsClose  X ""So I will say it again:  The United States welcomes the rise of a China that is peaceful and stable and prosperous and a responsible player in global affairs, because we believe that will benefit all of us,"" he added.""In other words, the US is more deeply engaged across the Asia Pacific than we have been in decades. Our position is stronger. And we've sent a clear message that, as a Pacific nation, we're here to stay. In good times and bad, you can count on the United States of America,"" Obama said. 
"
NDTV,India,New Delhi,"India, US Resolve Tax Disputes Worth Rs 5000 Crore ","India and the US have resolved over 100 cases of tax disputes involving Rs 5,000 crore under the Mutual Agreement Procedure (MAP) and have finalised the terms and conditions of the first bilateral Advance Pricing Agreement (APA), an official statement said on Thursday.The bilateral meeting between India and the US to discuss the tax issues was held in Washington D.C. in the last week of October, 2016.""During the meeting, 66 MAP cases relating to transfer pricing issues and 42 MAP cases relating to treaty interpretation issues were agreed to be resolved successfully. The total amount that was locked up in dispute in these cases is approximately Rs 5,000 crore and these cases were related to assessment years ranging from AY 1999-2000 to AY 2011-12,"" the Finance Ministry said in the statement.""The discussions in the meeting were focussed on resolving MAP cases pending for a long time and to achieve significant developments in bilateral APA process,"" the statement said. ""The resolved cases pertain to various issues like transfer pricing adjustments made to the international transactions in the nature of payment of royalty, payment of management fees, cost contribution arrangements, engineering design services, contract R&amp;D services, investment advisory services, marketing support services, software development services, IT enabled services etc.,"" it said.. Treaty interpretative issues in the nature of presence of Permanent Establishment (PE) in India and profit attribution to such PEs, disputes pertaining to royalty income v/s business income of foreign companies, etc. were also discussed, the ministry added.During the meeting, the competent authorities of India and the US also finalised the terms and conditions of the first ever bilateral APA between the two countries.Though India started its bilateral APA process with the US by accepting applications from the Indian taxpayers from FY 2012-13, the US started the process only in February 2016 by accepting applications from US taxpayers. CommentsClose  X Within a short span of eight months, the agreement has been reached, the ministry said.""The speedy resolution of cases and agreement on bilateral APA due to effective mechanism of development of mutual trust and cooperation between the competent authorities of two countries would be a positive factor in creating a conducive atmosphere for investments and business by US companies in India,"" it said. 

"
